,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
459,2010,Cardano,ADA,cardano,1162,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000,35658625186,36855324087,FALSE,,10,,,,2024-05-08T16:28:00.000Z,0.467117967,449112114.7,44.4998,2.90765935,3.22860957,7.33695695,-23.29166395,-36.57970443,-11.57513971,16656784496,0.7258,21020308506,,2024-05-08T16:28:00.000Z,,,,,,31:12.6
460,5994,Shiba Inu,SHIB,shiba-inu,805,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,5.89289E+14,5.89534E+14,FALSE,,11,,,,2024-05-08T16:28:00.000Z,2.28E-05,409640095.9,-4.401,0.42697899,-4.18935737,8.44566506,-20.33806204,-35.79522027,147.1049663,13450990866,0.5861,13456575780,,2024-05-08T16:28:00.000Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,31:12.6
461,5805,Avalanche,AVAX,avalanche,719,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719,380605377.9,439295017.9,FALSE,,12,,,,2024-05-08T16:28:00.000Z,34.47690604,367008481.2,-4.4918,0.62050021,-6.63412512,7.14526612,-30.8347053,-19.88319217,-3.82665643,13122095852,0.5717,24676801333,,2024-05-08T16:28:00.000Z,,,,,,31:12.6
462,1958,TRON,TRX,tron,972,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87502570047,87502570047,TRUE,,13,71659659264,8826989792,,2024-05-08T16:28:00.000Z,0.123179344,390100786.5,39.4557,0.51942059,2.26112375,2.91613472,0.27107807,-9.52939989,0.3363826,10778509144,0.4696,10778509144,,2024-05-08T16:28:00.000Z,,,,,,31:12.6
463,6636,Polkadot,DOT,polkadot-new,755,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431,1437953431,TRUE,,14,1442886104,10303882405,,2024-05-08T16:29:00.000Z,7.141161299,187778245,7.7574,1.15310812,-0.95637439,9.78414706,-21.00158583,-32.95240901,2.0192946,10268657394,0.4474,10268657394,,2024-05-08T16:29:00.000Z,,,,,,31:12.6
464,1831,Bitcoin Cash,BCH,bitcoin-cash,883,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000,19702965.63,19702965.63,FALSE,,15,,,,2024-05-08T16:28:00.000Z,459.3460917,377491750.3,3.2982,0.06240285,-6.28644419,13.34583075,-32.64539204,6.72291717,88.63581916,9050480255,0.3943,9646267926,,2024-05-08T16:28:00.000Z,,,,,,31:12.6
465,1,Bitcoin,BTC,bitcoin,11025,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000,19695550,19695550,FALSE,,1,,,,2024-05-08T16:32:00.000Z,62291.96493,25512486412,-0.2633,0.17283439,-2.02867886,8.72523062,-13.20067484,-8.72942295,37.49961324,1.22687E+12,53.4552,1.30813E+12,,2024-05-08T16:32:00.000Z,,,,,,32:34.8
466,1027,Ethereum,ETH,ethereum,8902,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120103321.1,120103321.1,TRUE,,2,,,,2024-05-08T16:31:00.000Z,3008.535401,11596296846,0.6586,0.4980501,-1.98491143,3.56815021,-17.53205265,-23.00293042,23.35998078,3.61335E+11,15.7414,3.61335E+11,,2024-05-08T16:31:00.000Z,,,,,,32:34.8
467,825,Tether USDt,USDT,tether,84919,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,1.10956E+11,1.13087E+11,TRUE,,3,,,,2024-05-08T16:31:00.000Z,0.999750865,45570915520,-0.2371,-0.00758441,-0.03316288,0.11559562,-0.03211943,-0.24516562,-0.03952156,1.10928E+11,4.8325,1.13058E+11,,2024-05-08T16:31:00.000Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,32:34.8
468,1839,BNB,BNB,bnb,2154,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147587159.9,147587159.9,FALSE,,4,,,,2024-05-08T16:31:00.000Z,582.6471185,1562971592,4.5037,0.30446062,-1.78134359,6.30831504,-1.30111237,19.95038089,82.75816832,85991233431,3.7467,85991233431,,2024-05-08T16:31:00.000Z,,,,,,32:34.8
